Actual_AQI,Predicted_AQI
26.0,22.871622
26.0,24.118446
25.0,25.216803
25.0,26.03494
26.999999999999996,26.482866
29.000000000000004,26.770885
26.999999999999996,27.752262
28.000000000000004,28.16916
29.000000000000004,28.175995
28.000000000000004,28.66287
29.000000000000004,28.815363
30.0,29.75774
31.0,30.942581
26.0,31.485867
25.0,30.90614
23.0,29.071474
19.0,26.99635
10.0,24.61661
22.0,21.342167
23.0,20.033306
24.0,20.501715
23.0,21.889444
23.0,23.35672
22.0,24.623274
21.0,24.924109
11.0,24.398167
22.0,22.162056
23.0,21.62786
22.0,21.395123
24.0,22.267063
24.0,23.733994
25.0,24.695244
25.0,25.294731
26.0,25.694317
26.0,26.45983
20.0,26.920862
25.0,26.247591
26.0,26.093824
25.0,26.567055
25.0,26.640366
24.0,26.66214
20.0,26.24224
20.0,25.24325
19.0,24.019253
20.0,22.461624
21.0,21.771183
20.0,21.40728
20.0,21.440956
22.0,21.591223
22.0,22.415466
23.0,22.890205
12.0,23.432392
21.0,21.874361
21.0,21.362377
21.0,21.291563
22.0,21.515575
0.0,21.893494
20.0,18.672804
20.0,18.120008
21.0,18.636658
23.0,19.637117
23.0,21.249956
19.0,22.5048
21.0,23.409496
22.0,23.951122
22.0,24.482597
23.0,24.88985
25.0,24.53573
24.0,24.991821
22.0,25.309849
21.0,25.20212
22.0,24.576382
19.0,24.160992
12.0,23.05057
20.0,21.440453
21.0,21.105597
18.0,21.561586
22.0,21.880539
23.0,23.028372
23.0,24.25606
23.0,24.995012
23.0,25.42395
23.0,25.673248
15.0,25.481049
21.0,23.6197
20.0,22.895433
19.0,22.115652
22.0,20.973469
26.0,20.957935
21.0,22.47979
0.0,23.860209
2.0,21.097944
21.0,17.071047
26.0,16.840992
26.999999999999996,19.102499
29.000000000000004,22.637917
29.000000000000004,26.540068
30.0,29.282543
29.000000000000004,31.159163
29.000000000000004,32.413525
29.000000000000004,32.673084
25.0,31.79634
23.0,30.721079
26.0,29.459883
24.0,29.128801
25.0,28.622421
23.0,28.296227
23.0,27.717775
20.0,27.130167
25.0,26.258276
26.0,26.250036
23.0,27.087137
28.000000000000004,27.202938
28.000000000000004,28.04768
23.0,28.850336
10.0,28.909681
32.0,25.721678
26.999999999999996,26.193108
33.0,27.305927
33.0,29.072338
30.0,31.43395
29.000000000000004,32.676125
29.000000000000004,33.020573
26.999999999999996,32.578266
29.000000000000004,31.751883
28.000000000000004,31.044464
30.0,30.303722
6.0,30.38856
26.0,26.32146
23.0,25.182278
19.0,24.5002
22.0,23.526669
21.0,23.224417
19.0,23.556234
19.0,23.648197
20.0,23.421864
19.0,23.353058
21.0,23.133205
21.0,22.113329
22.0,22.326677
22.0,23.285517
22.0,24.15917
20.0,24.796497
17.0,24.436708
25.0,23.144756
25.0,23.192661
23.0,23.686707
26.999999999999996,24.562597
26.999999999999996,25.971443
26.999999999999996,27.432775
28.000000000000004,29.003761
28.000000000000004,29.765215
29.000000000000004,30.182833
22.0,29.986034
28.000000000000004,28.502468
26.0,27.79178
24.0,26.847307
24.0,25.934122
23.0,25.32925
15.0,24.807116
24.0,23.094645
21.0,22.949205
19.0,22.89323
22.0,22.688152
26.0,23.056784
25.0,24.323448
21.0,25.49697
19.0,25.828306
20.0,25.508112
20.0,24.981829
20.0,24.107893
20.0,23.978786
11.0,23.810102
19.0,21.764118
20.0,20.649696
18.0,20.745571
20.0,21.246767
21.0,21.671886
23.0,22.35235
21.0,23.342312
22.0,23.996317
23.0,24.302961
13.0,24.60307
23.0,22.923311
23.0,22.565683
21.0,22.979122
21.0,23.256714
22.0,23.623644
12.0,24.21706
24.0,23.111353
24.0,23.357136
23.0,24.0864
11.0,24.785482
22.0,22.80656
22.0,22.538372
20.0,22.916952
21.0,23.056818
22.0,23.21544
14.000000000000002,23.816317
19.0,22.309782
19.0,21.824686
17.0,21.764164
20.0,21.25742
23.0,21.138342
24.0,22.193846
25.0,23.62729
25.0,25.380945
25.0,26.99947
23.0,27.91738
26.0,27.701607
29.000000000000004,27.728954
29.000000000000004,28.415636
19.0,29.621145
31.0,28.700716
32.0,29.205008
32.0,29.800274
32.0,30.526356
11.0,31.4562
33.0,27.74761
33.0,27.165234
30.0,28.106674
9.0,29.15787
35.0,26.160828
37.0,26.218946
36.0,28.372358
9.0,31.01668
37.0,28.557001
26.0,28.87887
35.0,28.699223
34.0,30.496218
35.0,32.238342
37.0,33.58783
37.0,34.21318
34.0,35.494156
36.0,35.59993
36.0,35.990536
37.0,35.496048
28.000000000000004,36.177223
25.0,34.449837
37.0,32.09107
35.0,31.921837
35.0,32.15624
30.0,32.59452
25.0,31.812477
35.0,30.392939
34.0,30.491032
12.0,31.154478
35.0,27.933357
34.0,28.06447
34.0,29.22271
34.0,31.25444
30.0,32.85234
28.000000000000004,33.235855
28.000000000000004,32.365406
26.0,30.356873
26.999999999999996,29.18959
52.0,28.248133
53.0,31.975683
53.0,38.309444
48.0,44.312725
43.0,47.966145
38.0,48.754784
26.0,46.771408
32.0,41.352356
29.000000000000004,37.05344
16.0,33.004158
19.0,27.656178
20.0,24.025244
14.000000000000002,21.818966
7.000000000000001,19.825245
13.0,17.318146
17.0,16.091738
18.0,16.309528
18.0,17.095116
19.0,18.507137
20.0,19.777788
8.0,20.891565
19.0,20.07014
0.0,20.324942
2.0,17.093447
23.0,13.638043
25.0,14.306264
26.0,17.356297
43.0,21.376667
44.0,27.914495
46.99999999999999,35.0812
46.99999999999999,41.33279
40.0,45.181725
52.0,46.54829
52.0,48.16109
36.0,49.702908
42.0,47.71119
46.99999999999999,45.726368
57.0,44.759964
51.0,46.950665
36.0,48.696808
46.99999999999999,46.797462
49.00000000000001,46.143063
41.0,46.28546
46.99999999999999,45.2992
45.0,45.161205
41.0,44.74375
45.0,43.548557
45.0,43.165146
44.0,43.64111
43.0,43.854214
30.0,43.53594
43.0,40.936443
42.0,40.258514
42.0,40.29141
43.0,40.510323
44.0,41.119972
46.0,41.75545
