Actual_AQI,Predicted_AQI
19.0,31.025524
23.0,27.892443
25.0,25.080408
24.0,23.608759
22.0,22.658709
22.0,22.116266
19.0,21.229347
22.0,20.236197
10.0,20.268612
19.0,18.155804
21.0,16.864443
22.0,16.718975
10.0,17.20707
26.0,15.802749
24.0,16.898867
25.0,18.340704
25.0,20.133272
23.0,21.490469
23.0,22.09133
23.0,21.52041
11.0,21.039228
21.0,18.623352
13.0,17.711723
20.0,15.7808695
23.0,15.436482
20.0,16.20435
23.0,17.04958
19.0,18.382349
25.0,19.216724
22.0,20.407467
14.000000000000002,20.782326
18.0,19.120335
20.0,18.082275
19.0,17.388834
21.0,16.965075
1.0,17.156368
19.0,13.6929655
19.0,13.005109
16.0,13.550676
19.0,14.70596
19.0,16.333797
20.0,17.262611
21.0,18.486473
21.0,18.851908
21.0,19.089066
9.0,19.37104
20.0,16.7875
22.0,16.770786
21.0,17.598076
20.0,18.636602
21.0,18.7234
23.0,19.118507
23.0,19.731112
23.0,20.268171
8.0,21.03768
24.0,18.955645
25.0,18.204756
11.0,18.533766
26.999999999999996,16.590351
26.999999999999996,17.561892
29.000000000000004,19.659554
33.0,22.074295
36.0,24.384792
23.0,26.741632
28.000000000000004,26.631245
45.0,25.585264
44.0,28.283909
46.99999999999999,31.922407
46.99999999999999,35.913925
51.0,39.113705
53.0,42.04923
46.99999999999999,44.38393
53.0,44.629097
58.00000000000001,45.17867
60.0,46.58075
55.0,48.62274
46.99999999999999,49.32744
44.0,48.197437
46.99999999999999,45.519485
50.0,43.252083
51.0,42.327496
52.0,42.430817
53.99999999999999,42.915844
53.0,44.33085
53.0,45.68284
57.0,47.148903
53.0,48.44929
49.00000000000001,48.903015
56.00000000000001,48.294537
56.00000000000001,48.329315
48.0,48.9528
40.0,48.12201
58.00000000000001,44.469624
58.00000000000001,44.63945
55.0,46.50151
56.00000000000001,47.950207
55.0,49.01005
53.0,49.3627
52.0,49.000187
53.0,48.737175
52.0,48.301895
50.0,47.337025
48.0,46.211197
53.99999999999999,45.0364
57.0,45.13503
56.00000000000001,46.661297
57.0,48.31794
57.0,49.585068
58.00000000000001,50.50819
56.00000000000001,51.175953
55.0,51.17618
57.0,50.575527
57.0,50.19913
55.0,50.12653
55.0,50.07943
55.0,50.16722
46.99999999999999,50.283295
46.99999999999999,48.81143
46.99999999999999,46.042892
45.0,43.905132
46.99999999999999,41.8669
50.0,40.628
52.0,41.316658
46.99999999999999,42.872803
62.99999999999999,42.99247
60.0,46.09358
56.00000000000001,49.132923
59.0,50.542095
56.00000000000001,51.347157
50.0,51.370735
37.0,50.039795
46.0,45.46299
44.0,42.59403
46.0,41.626102
45.0,40.60945
24.0,39.86241
41.0,36.33334
53.99999999999999,36.45622
39.0,39.24663
41.0,39.97803
